Year,Win%,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1913,0.5,582,26.8,4.04,2468,91892,81217,9961,21021,3070,1265,470,8350,3250,1223,7267,9283,0.259,0.325,0.345,0.67,28031,,702,2541,,
1912,0.5,604,26.8,4.53,2464,93246,82039,11165,22039,3353,1355,442,9389,3398,1340,7683,9684,0.269,0.337,0.359,0.695,29428,,717,2765,,
1911,0.5,536,27.1,4.51,2474,94047,82259,11160,21914,3265,1323,514,9318,3403,,7838,9871,0.266,0.336,0.357,0.693,29367,,844,2884,,
1910,0.5,508,27.3,3.83,2498,93034,81551,9577,20332,2815,1160,361,7858,3265,,7419,9677,0.249,0.318,0.326,0.644,26550,,791,3020,,
1909,0.5,504,27.6,3.54,2482,91326,80613,8797,19657,2659,1003,259,7125,3055,,6505,9377,0.244,0.306,0.311,0.618,25099,,764,3116,,
1908,0.5,440,28.6,3.38,2488,90731,80679,8417,19279,2523,1001,267,6822,2722,,5860,9078,0.239,0.297,0.305,0.602,24605,,771,3231,,
1907,0.5,419,28.7,3.52,2466,89746,80304,8690,19701,2470,960,244,7075,2781,,6101,8836,0.245,0.305,0.309,0.614,24823,,739,2602,,
1906,0.5,412,28.6,3.61,2456,89657,80061,8874,19742,2632,1004,261,7279,2997,,6169,9110,0.247,0.306,0.314,0.621,25165,,728,2699,,
1905,0.5,390,28.7,3.89,2474,91352,81841,9635,20298,2858,1120,338,7936,2946,,6189,9523,0.248,0.307,0.323,0.63,26410,,818,2504,,
1904,0.5,364,28.5,3.72,2498,91064,82488,9302,20363,2851,1154,331,7591,2781,,5580,9299,0.247,0.301,0.321,0.622,26515,,777,2219,,
1903,0.5,368,28.4,4.44,2228,83549,75439,9888,19776,3034,1161,335,8144,2742,,5369,7899,0.262,0.317,0.346,0.664,26137,,729,2012,,
1902,0.5,390,28.3,4.43,2234,84273,76280,9897,20350,2832,983,354,8258,2684,,5442,6630,0.267,0.322,0.344,0.665,26210,,716,1835,,
1901,0.5,371,28.1,4.99,2220,85072,77105,11073,20957,2931,1238,455,9136,2851,,5465,6976,0.272,0.327,0.36,0.686,27729,,830,1672,,
1900,0.5,188,28.5,5.21,1138,43485,39132,5932,10925,1432,607,254,4924,1686,,3034,2681,0.279,0.339,0.366,0.705,14333,,513,806,,
1899,0.5,310,27.9,5.24,1846,70016,62846,9672,17741,2201,1011,352,7997,2668,,4979,3849,0.282,0.343,0.366,0.71,23020,,868,1323,,
1898,0.5,299,28.1,4.96,1842,69964,62661,9129,16955,2088,900,299,7630,2069,,5092,4223,0.271,0.334,0.347,0.681,21740,,865,1346,,
1897,0.5,263,28.1,5.88,1622,63272,56663,9536,16522,2322,964,368,8014,2705,,4729,3729,0.292,0.354,0.386,0.74,21876,,750,1130,,
1896,0.5,272,28.1,6.04,1584,62230,55577,9560,16141,2166,1006,404,8045,3059,,4854,3523,0.29,0.354,0.387,0.742,21531,,636,1163,,
1895,0.5,284,27.9,6.58,1598,63573,56788,10514,16827,2414,997,488,8806,2895,,5120,3621,0.296,0.361,0.4,0.761,22699,,668,997,,
1894,0.5,264,27.8,7.38,1598,65205,57577,11796,17809,2753,1300,629,9983,3148,,5870,3333,0.309,0.379,0.435,0.814,25049,,602,1156,,
