Tm,Pitching,Hitting,SumW,W,L,Pitching,Both,80% P + 20% H,,,,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
STL,88,82,170,88,74,0,#REF!,#REF!,,,,0.543,3.85,162,162,161,1,8,1,43,1455.1,1354,691,622,144,593,49,1337,67,4,63,6271,101,3.97,1.338,8.4,0.9,3.7,8.3,2.25,1214
TBR,91,85,176,90,72,1,#REF!,#REF!,,,,0.556,3.74,162,162,162,0,14,0,52,1448.1,1236,646,602,164,501,34,1421,53,6,55,5992,111,3.82,1.199,7.7,1,3.1,8.8,2.84,1001
TEX,62,79,141,67,95,-5,#REF!,#REF!,,,,0.414,4.92,162,162,161,1,5,0,42,1431,1516,848,783,222,491,23,1121,72,8,57,6231,99,4.79,1.403,9.5,1.4,3.1,7.1,2.28,1090
TOR,63,85,148,73,89,-10,#REF!,#REF!,,,,0.451,4.85,162,162,162,0,3,0,39,1433.2,1476,832,772,208,551,19,1298,67,5,71,6265,87,4.53,1.414,9.3,1.3,3.5,8.1,2.36,1132
WSN,84,90,174,82,80,2,#REF!,#REF!,,,,0.506,4.04,162,162,160,2,7,1,40,1446,1320,682,649,198,487,37,1417,76,6,42,6087,106,4.15,1.25,8.2,1.2,3,8.8,2.91,1067






