Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
50,Central Connecticut State,31,11,20,0.355,-13.5,-6.19,5,13,5,7,5,12,2205,2367,,70.4,99.4,0.348,0.336,0.52,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272
51,Central Florida,29,23,6,0.793,13.9,4.52,13,4,14,2,5,4,2119,1847,,67,108.7,0.475,0.357,0.56,51.6,54,8.6,12.6,0.534,15,29.5,0.305
52,Central Michigan,30,20,10,0.667,3.08,-0.22,9,8,12,4,6,5,2477,2282,,73.4,110.2,0.433,0.373,0.552,50.6,47,10.3,8,0.52,14.4,32.9,0.291
53,Charleston Southern,31,17,14,0.548,-1.86,-4.3,9,7,11,4,4,10,2385,2167,,72.2,105.8,0.283,0.446,0.534,51.2,53,11,9.9,0.51,15.4,31.6,0.191
54,Charlotte,28,7,21,0.25,-8.24,-0.24,4,13,5,9,2,9,1698,1922,,65.7,92.3,0.36,0.424,0.523,48,49,7.3,11.2,0.478,20,21.7,0.268
55,Chattanooga,31,12,19,0.387,-7.8,-0.58,7,11,8,6,4,11,2204,2308,,69.5,101.8,0.24,0.424,0.54,48.6,50.1,6.2,6.5,0.52,16.1,24.3,0.165
56,Chicago State,30,3,27,0.1,-24.24,1.23,0,15,3,7,0,19,1860,2548,,72,86.1,0.33,0.268,0.487,44.7,52.6,8.4,6.1,0.453,20.1,22.5,0.221
57,Cincinnati,30,25,5,0.833,14.85,4.32,14,3,16,1,7,3,2152,1836,,64.9,109.5,0.374,0.332,0.529,54.2,55.2,10.1,15.2,0.49,13.6,37.2,0.266
58,Citadel,29,12,17,0.414,-6.85,0.31,4,14,8,7,4,10,2482,2484,,76.7,110.6,0.267,0.532,0.568,47.6,51.9,8.7,10.8,0.542,14.5,26.6,0.198
59,Clemson,30,18,12,0.6,14.88,9.68,8,9,12,4,4,6,2084,1928,,67.5,102.9,0.328,0.357,0.553,52.4,49.1,9.6,13.2,0.52,17.5,26.8,0.24
60,Cleveland State,31,10,21,0.323,-7.69,-1.24,5,13,8,9,2,12,2300,2437,,71.4,103.1,0.319,0.447,0.545,47.5,57.6,7.8,8.3,0.518,16.3,26.7,0.218
61,Coastal Carolina,29,15,14,0.517,0.37,-1.89,9,8,8,3,5,10,2247,2111,,70.8,108.4,0.406,0.385,0.568,53.1,51.3,9.1,8.2,0.531,17.4,32,0.294
62,Colgate,32,22,10,0.688,0.81,-4.19,13,5,12,1,9,9,2404,2231,,67.7,109.6,0.274,0.404,0.579,52.8,56.8,8.8,10.1,0.553,16.7,29.5,0.203
63,College of Charleston,31,23,8,0.742,2.8,-2.57,12,6,13,2,8,5,2313,2134,,66.4,111.5,0.347,0.368,0.581,50.8,43.3,9.9,7.2,0.544,14.1,26,0.265
64,Colorado State,30,12,18,0.4,0.69,1.83,7,10,8,8,3,8,2276,2275,,69.3,109,0.329,0.395,0.577,49.9,54.3,8.9,6.8,0.552,15,24.5,0.229
65,Colorado,29,18,11,0.621,9.8,3.42,9,8,11,2,5,8,2171,1986,,70,106.5,0.368,0.351,0.557,54,51,7.5,8.5,0.518,16.5,30.2,0.272
